Teacher_ID,First_Name,Last_Name,City_ID,Subject,Years_of_Experience,Education_Level,Latest_Degree,Latest_Degree_Date,Performance_Rating,Classes_Taught,Last_Training_Date
1,Louise,Fulkerson,15,Physical Education,24,Bachelor,Doctor of Education,2012-08-26,3.77,1,2024-08-08
2,Pauline,Nicholas,18,Science,12,Master,Bachelor of Education,2009-11-12,3.94,3,2024-06-30
3,Tracy,Vallejo,4,Art,26,Bachelor,Doctor of Education,2016-10-22,4.85,3,2024-03-19
4,Jacob,Ullrich,19,History,24,Master,Bachelor of Education,2007-06-09,3.37,5,2024-04-06
5,Ricky,Oconner,2,Math,11,PhD,Master of Science in Education,2016-07-30,4.93,1,2024-11-14
6,Michiko,David,20,History,22,PhD,Master of Science in Education,2018-08-13,3.98,4,2024-04-09
7,Patricia,Scott,11,Art,25,PhD,Master of Arts in Teaching,2013-05-29,3.35,4,2024-08-29
8,Betty,Perron,14,Science,22,Master,PhD in Education,2018-08-09,4.42,4,2024-12-10
9,Constance,Bowman,9,History,11,Master,Bachelor of Education,2012-08-26,3.61,1,2024-11-22
10,Lorraine,Giddens,8,History,23,Master,PhD in Education,2009-08-02,3.28,4,2024-07-05
11,John,Decamp,5,Art,20,Bachelor,Doctor of Education,2017-11-25,4.22,3,2024-01-02
12,Patrick,Keen,6,English,25,Bachelor,Doctor of Education,2003-05-08,3.37,1,2024-06-20
13,Donald,Horne,7,Science,23,PhD,Doctor of Education,2011-06-28,4.15,2,2024-09-14
14,Sheryl,Hunsberger,19,History,18,PhD,Doctor of Education,2022-01-29,3.14,3,2024-11-26
15,Carol,Kelly,12,History,17,Master,Master of Education,2005-11-22,3.14,3,2024-09-04
16,Kenneth,Rice,1,History,29,Bachelor,Bachelor of Education,2000-10-16,3.07,1,2024-09-12
17,Krista,Colarusso,4,History,3,Master,Master of Science in Education,2003-02-07,4.08,5,2024-06-02
18,Douglas,Navarez,2,Science,10,Bachelor,Master of Science in Education,2019-06-22,4.32,2,2024-06-21
19,Lolita,Harrison,16,Math,22,Master,Bachelor of Education,2011-05-30,4.51,3,2024-05-07
20,Becki,Levine,1,Physical Education,24,Bachelor,Master of Education,2008-03-24,4.62,4,2024-10-24
21,Darlene,White,17,Art,5,Bachelor,Master of Science in Education,2008-03-30,3.96,5,2024-11-06
22,Virginia,Martin,6,History,2,Bachelor,PhD in Education,2011-09-24,4.61,5,2024-12-20
23,Reggie,Martelli,6,History,19,Bachelor,Doctor of Education,2019-10-06,3.49,1,2024-02-26
24,Roy,Talley,18,Math,9,Master,Bachelor of Education,2021-02-12,4.63,1,2024-04-03
25,Jonathan,Sumpter,18,Physical Education,19,PhD,Master of Science in Education,2013-01-27,3.98,3,2024-10-12
